Price,Close,High,Low,Open,Volume,DayOfWeek,Month,Year,MA5,RSI,Volume_Change,Predicted
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,,,,,,,
Date,,,,,,,,,,,,
2024-03-28,90.32632446289062,91.27001464058522,89.16370444852706,89.97043858800308,435212000,3,3,2024,92.46121520996094,0.815446036202567,-0.2574023106573139,91.52675299651537
2024-04-01,90.33331298828125,92.1947007975338,89.17469715880289,90.26933865065378,452441000,0,4,2024,91.67627258300782,0.6773474557059151,0.03958760328299782,91.46505406008787
2024-04-02,89.42261505126953,90.06440242112468,87.59121620163441,88.41893947358703,433064000,1,4,2024,90.56663818359375,0.5255410330636161,-0.04282768360957556,91.13473666163938
2024-04-03,88.93477630615234,90.3443168469122,88.3709661913593,88.45493823513225,370067000,2,4,2024,89.84747619628907,0.11796024867466517,-0.14546810633070406,90.0863386311834
2024-04-04,85.87677001953125,90.60421995433492,85.85177670926352,90.37629042203368,434965000,3,4,2024,88.978759765625,0.016137259347098216,0.17536824412876584,89.30377982560998
2024-04-05,87.97908782958984,88.45193199631433,85.89777114739914,86.83745712010142,399678000,4,4,2024,88.50931243896484,0.31646837506975445,-0.0811260676146357,86.83602097712676
2024-04-08,87.10437774658203,88.80081883400379,86.70350850941023,88.67085666122206,283220000,0,4,2024,87.863525390625,0.31646837506975445,-0.2913795605462397,88.37598765085035
2024-04-09,85.3259506225586,87.60620698800746,82.99472376686872,87.41326961083752,503547000,1,4,2024,87.04419250488282,0.30132947649274555,0.7779358802344467,87.5160903727921
2024-04-10,87.01040649414062,87.3712879556285,83.68149867040677,83.89843024698811,431929000,2,4,2024,86.65931854248046,0.5409676688058036,-0.1422270413685316,86.05931518588513
2024-04-11,90.58623504638672,90.70919574606373,86.89745219051976,87.39128560717941,431637000,3,4,2024,87.60121154785156,1.051800319126674,-0.0006760370338643185,87.26100757665935
2024-04-12,88.15702819824219,90.1453808587556,87.50124546153059,89.66953167082109,426805000,4,4,2024,87.63679962158203,1.051800319126674,-0.011194591751865546,90.39555408197093
2024-04-15,85.97274017333984,90.58322421693445,85.90076523534208,89.06872264461606,443077000,0,4,2024,87.4104721069336,1.051800319126674,0.03812513911505255,88.67959185126576
2024-04-16,87.38628387451172,88.08904823109181,86.03572977127556,86.40460421758179,370453000,1,4,2024,87.82253875732422,0.9534040178571429,-0.16390830487703045,87.0150057821076
